video,experiment,scale,crf,tx_resolution,pixel_reduction,bpp,original_size_mb,compressed_size_mb,compression_ratio,frames_compared,reference_detections,compressed_detections,matched_detections,missed_detections,avg_conf_baseline,avg_conf_compressed,mean_confidence_drop,pseudo_recall,new_detections,pseudo_precision
10.mp4,full_crf10,1.0,10,1280x720,1,0.1817,3.16,5.39,0.59,270,1925,1942,1888,37,0.5206,0.5223,-0.0017,0.9808,54,0.9722
10.mp4,full_crf15,1.0,15,1280x720,1,0.1269,3.16,3.77,0.84,270,1925,1926,1856,69,0.5247,0.5233,0.0014,0.9642,70,0.9637
10.mp4,full_crf20,1.0,20,1280x720,1,0.0785,3.16,2.33,1.36,270,1925,1875,1805,120,0.5314,0.5296,0.0018,0.9377,70,0.9627
10.mp4,full_crf25,1.0,25,1280x720,1,0.0463,3.16,1.37,2.3,270,1925,1802,1694,231,0.5473,0.5457,0.0016,0.88,108,0.9401
10.mp4,full_crf30,1.0,30,1280x720,1,0.0265,3.16,0.78,4.03,270,1925,1786,1637,288,0.5532,0.5579,-0.0047,0.8504,149,0.9166
10.mp4,full_crf35,1.0,35,1280x720,1,0.0151,3.16,0.45,7.07,270,1925,1970,1636,289,0.5511,0.5447,0.0064,0.8499,334,0.8305
10.mp4,full_crf40,1.0,40,1280x720,1,0.0084,3.16,0.25,12.74,270,1925,1666,1434,491,0.575,0.5331,0.042,0.7449,232,0.8607
10.mp4,full_crf45,1.0,45,1280x720,1,0.0046,3.16,0.14,22.97,270,1925,1561,1173,752,0.5713,0.5737,-0.0024,0.6094,388,0.7514
10.mp4,full_crf51,1.0,51,1280x720,1,0.0026,3.16,0.08,40.74,270,1925,351,303,1622,0.7392,0.6624,0.0768,0.1574,48,0.8632
10.mp4,half_crf10,0.5,10,640x360,4,0.3488,3.16,2.59,1.22,270,1925,1861,1747,178,0.5399,0.5241,0.0158,0.9075,114,0.9387
10.mp4,half_crf15,0.5,15,640x360,4,0.2161,3.16,1.6,1.97,270,1925,1846,1724,201,0.5428,0.5261,0.0166,0.8956,122,0.9339
10.mp4,half_crf20,0.5,20,640x360,4,0.128,3.16,0.95,3.33,270,1925,1775,1621,304,0.5567,0.5408,0.0159,0.8421,154,0.9132
10.mp4,half_crf25,0.5,25,640x360,4,0.0729,3.16,0.54,5.84,270,1925,1753,1590,335,0.559,0.5309,0.028,0.826,163,0.907
10.mp4,half_crf30,0.5,30,640x360,4,0.0404,3.16,0.3,10.56,270,1925,1622,1391,534,0.5888,0.5632,0.0256,0.7226,231,0.8576
10.mp4,half_crf35,0.5,35,640x360,4,0.0212,3.16,0.16,20.12,270,1925,1445,1243,682,0.5827,0.5467,0.036,0.6457,202,0.8602
10.mp4,half_crf40,0.5,40,640x360,4,0.0107,3.16,0.08,39.76,270,1925,1074,930,995,0.6221,0.5587,0.0634,0.4831,144,0.8659
10.mp4,half_crf45,0.5,45,640x360,4,0.0047,3.16,0.04,90.11,270,1925,580,552,1373,0.7129,0.663,0.05,0.2868,28,0.9517
10.mp4,half_crf51,0.5,51,640x360,4,0.0027,3.16,0.02,156.44,270,1925,428,347,1578,0.743,0.4233,0.3197,0.1803,81,0.8107
10.mp4,quarter_crf10,0.25,10,320x180,16,0.4775,3.16,0.89,3.57,270,1925,1783,1455,470,0.5618,0.4796,0.0823,0.7558,328,0.816
10.mp4,quarter_crf15,0.25,15,320x180,16,0.3054,3.16,0.57,5.58,270,1925,1545,1358,567,0.5676,0.4795,0.0881,0.7055,187,0.879
10.mp4,quarter_crf20,0.25,20,320x180,16,0.1816,3.16,0.34,9.38,270,1925,1177,1108,817,0.5779,0.5143,0.0637,0.5756,69,0.9414
10.mp4,quarter_crf25,0.25,25,320x180,16,0.1009,3.16,0.19,16.9,270,1925,1260,1075,850,0.5593,0.5199,0.0394,0.5584,185,0.8532
10.mp4,quarter_crf30,0.25,30,320x180,16,0.0526,3.16,0.1,32.42,270,1925,913,862,1063,0.6122,0.51,0.1022,0.4478,51,0.9441
10.mp4,quarter_crf35,0.25,35,320x180,16,0.027,3.16,0.05,63.06,270,1925,611,579,1346,0.6676,0.5537,0.1139,0.3008,32,0.9476
10.mp4,quarter_crf40,0.25,40,320x180,16,0.0143,3.16,0.03,119.45,270,1925,182,147,1778,0.7073,0.386,0.3212,0.0764,35,0.8077
10.mp4,quarter_crf45,0.25,45,320x180,16,0.0071,3.16,0.01,239.68,270,1925,390,387,1538,0.7535,0.5581,0.1954,0.201,3,0.9923
10.mp4,quarter_crf51,0.25,51,320x180,16,0.005,3.16,0.01,339.87,270,1925,251,0,1925,0.0,0.0,0.0,0.0,251,0.0
2.mp4,full_crf10,1.0,10,1280x720,1,0.3243,8.45,25.58,0.33,718,6090,6090,5877,213,0.5051,0.5051,-0.0001,0.965,213,0.965
2.mp4,full_crf15,1.0,15,1280x720,1,0.1759,8.45,13.87,0.61,718,6090,6054,5773,317,0.509,0.5076,0.0013,0.9479,281,0.9536
2.mp4,full_crf20,1.0,20,1280x720,1,0.1006,8.45,7.94,1.06,718,6090,6072,5645,445,0.5133,0.5098,0.0035,0.9269,427,0.9297
2.mp4,full_crf25,1.0,25,1280x720,1,0.053,8.45,4.18,2.02,718,6090,5951,5361,729,0.5231,0.5174,0.0057,0.8803,590,0.9009
2.mp4,full_crf30,1.0,30,1280x720,1,0.0266,8.45,2.1,4.03,718,6090,5972,5020,1070,0.5325,0.5203,0.0123,0.8243,952,0.8406
2.mp4,full_crf35,1.0,35,1280x720,1,0.0146,8.45,1.15,7.35,718,6090,5880,4422,1668,0.5461,0.5231,0.023,0.7261,1458,0.752
2.mp4,full_crf40,1.0,40,1280x720,1,0.0088,8.45,0.7,12.11,718,6090,5318,3611,2479,0.5619,0.5093,0.0525,0.5929,1707,0.679
2.mp4,full_crf45,1.0,45,1280x720,1,0.0055,8.45,0.43,19.46,718,6090,4517,2809,3281,0.573,0.4849,0.088,0.4612,1708,0.6219
2.mp4,full_crf51,1.0,51,1280x720,1,0.0032,8.45,0.25,33.21,718,6090,2010,1263,4827,0.6187,0.4411,0.1776,0.2074,747,0.6284
2.mp4,half_crf10,0.5,10,640x360,4,0.5101,8.45,10.06,0.84,718,6090,6007,5537,553,0.517,0.512,0.0051,0.9092,470,0.9218
2.mp4,half_crf15,0.5,15,640x360,4,0.259,8.45,5.11,1.65,718,6090,5902,5323,767,0.5242,0.5136,0.0106,0.8741,579,0.9019
2.mp4,half_crf20,0.5,20,640x360,4,0.125,8.45,2.46,3.43,718,6090,5919,5101,989,0.5299,0.514,0.0159,0.8376,818,0.8618
2.mp4,half_crf25,0.5,25,640x360,4,0.0626,8.45,1.24,6.84,718,6090,5750,4498,1592,0.5452,0.5229,0.0222,0.7386,1252,0.7823
2.mp4,half_crf30,0.5,30,640x360,4,0.0336,8.45,0.66,12.77,718,6090,5600,3952,2138,0.5572,0.5237,0.0334,0.6489,1648,0.7057
2.mp4,half_crf35,0.5,35,640x360,4,0.0201,8.45,0.4,21.33,718,6090,4525,3081,3009,0.5755,0.4992,0.0762,0.5059,1444,0.6809
2.mp4,half_crf40,0.5,40,640x360,4,0.012,8.45,0.24,35.78,718,6090,3792,2388,3702,0.5776,0.4714,0.1063,0.3921,1404,0.6297
